		
model_1      -E  -n0   -o2   -S0   		Command exited with non-zero status 124 59.61	
model_1      -E  -n0   -o2   -S1   		Command exited with non-zero status 124 59.96	
model_1      -E  -n0   -o2   -S2   		Command exited with non-zero status 124 59.86	
model_1      -E  -n0   -o3   -S0   		2.40	
model_1      -E  -n0   -o3   -S1   		0.03	
model_1      -E  -n0   -o3   -S2   		0.08	
model_1      -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.88	
model_1      -E  -n0   -o4   -S1   		0.60	
model_1      -E  -n0   -o4   -S2   		2.14	
model_1      -E  -n1   -o2   -S0   		Command exited with non-zero status 124 59.81	
model_1      -E  -n1   -o2   -S1   		Command exited with non-zero status 124 59.93	
model_1      -E  -n1   -o2   -S2   		Command exited with non-zero status 124 59.88	
model_1      -E  -n1   -o3   -S0   		1.31	
model_1      -E  -n1   -o3   -S1   		0.02	
model_1      -E  -n1   -o3   -S2   		0.08	
model_1      -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.95	
model_1      -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.72	
model_1      -E  -n1   -o4   -S2   		Command exited with non-zero status 124 59.88	
model_1      -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.96	
model_1      -E  -n2   -o2   -S1   		51.12	
model_1      -E  -n2   -o2   -S2   		Command exited with non-zero status 124 59.84	
model_1      -E  -n2   -o3   -S0   		1.27	
model_1      -E  -n2   -o3   -S1   		2.39	
model_1      -E  -n2   -o3   -S2   		2.32	
model_1      -E  -n2   -o4   -S0   		Command exited with non-zero status 124 59.84	
model_1      -E  -n2   -o4   -S1   		Command exited with non-zero status 124 59.78	
model_1      -E  -n2   -o4   -S2   		Command exited with non-zero status 124 59.53	
model_1      -E  -n3   -o2   -S0   		Command exited with non-zero status 124 59.08	
model_1      -E  -n3   -o2   -S1   		Command exited with non-zero status 124 59.54	
model_1      -E  -n3   -o2   -S2   		Command exited with non-zero status 124 58.97	
model_1      -E  -n3   -o3   -S0   		2.69	
model_1      -E  -n3   -o3   -S1   		0.04	
model_1      -E  -n3   -o3   -S2   		0.11	
model_1      -E  -n3   -o4   -S0   		45.33	
model_1      -E  -n3   -o4   -S1   		0.02	
model_1      -E  -n3   -o4   -S2   		0.02	
model_1      -E  -n4   -o2   -S0   		Command exited with non-zero status 124 59.34	
model_1      -E  -n4   -o2   -S1   		Command exited with non-zero status 124 58.88	
model_1      -E  -n4   -o2   -S2   		Command exited with non-zero status 124 59.18	
model_1      -E  -n4   -o3   -S0   		1.32	
model_1      -E  -n4   -o3   -S1   		0.03	
model_1      -E  -n4   -o3   -S2   		0.09	
model_1      -E  -n4   -o4   -S0   		Command exited with non-zero status 124 59.77	
model_1      -E  -n4   -o4   -S1   		Command exited with non-zero status 124 59.75	
model_1      -E  -n4   -o4   -S2   		Command exited with non-zero status 124 59.72	
model_1   -C  -E  -n0   -o2   -S0   		Command exited with non-zero status 124 59.37	
model_1   -C  -E  -n0   -o2   -S1   		Command exited with non-zero status 124 58.93	
model_1   -C  -E  -n0   -o2   -S2   		Command exited with non-zero status 124 59.36	
model_1   -C  -E  -n0   -o3   -S0   		0.03	
model_1   -C  -E  -n0   -o3   -S1   		0.02	
model_1   -C  -E  -n0   -o3   -S2   		0.07	
model_1   -C  -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.45	
model_1   -C  -E  -n0   -o4   -S1   		Command exited with non-zero status 124 57.48	
model_1   -C  -E  -n0   -o4   -S2   		Command exited with non-zero status 124 59.07	
model_1   -C  -E  -n1   -o2   -S0   		Command exited with non-zero status 124 59.03	
model_1   -C  -E  -n1   -o2   -S1   		Command exited with non-zero status 124 59.19	
model_1   -C  -E  -n1   -o2   -S2   		Command exited with non-zero status 124 59.63	
model_1   -C  -E  -n1   -o3   -S0   		0.03	
model_1   -C  -E  -n1   -o3   -S1   		0.03	
model_1   -C  -E  -n1   -o3   -S2   		0.07	
model_1   -C  -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.04	
model_1   -C  -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.20	
model_1   -C  -E  -n1   -o4   -S2   		Command exited with non-zero status 124 59.26	
model_1   -C  -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.25	
model_1   -C  -E  -n2   -o2   -S1   		Command exited with non-zero status 124 59.67	
model_1   -C  -E  -n2   -o2   -S2   		Command exited with non-zero status 124 59.08	
model_1   -C  -E  -n2   -o3   -S0   		2.53	
model_1   -C  -E  -n2   -o3   -S1   		1.07	
model_1   -C  -E  -n2   -o3   -S2   		0.09	
model_1   -C  -E  -n2   -o4   -S0   		Command exited with non-zero status 124 59.04	
model_1   -C  -E  -n2   -o4   -S1   		19.61	
model_1   -C  -E  -n2   -o4   -S2   		Command exited with non-zero status 124 58.45	
model_1   -C  -E  -n3   -o2   -S0   		Command exited with non-zero status 124 58.90	
model_1   -C  -E  -n3   -o2   -S1   		0.09	
model_1   -C  -E  -n3   -o2   -S2   		0.24	
model_1   -C  -E  -n3   -o3   -S0   		1.93	
model_1   -C  -E  -n3   -o3   -S1   		0.94	
model_1   -C  -E  -n3   -o3   -S2   		0.08	
model_1   -C  -E  -n3   -o4   -S0   		Command exited with non-zero status 124 59.42	
model_1   -C  -E  -n3   -o4   -S1   		Command exited with non-zero status 124 59.42	
model_1   -C  -E  -n3   -o4   -S2   		Command exited with non-zero status 124 59.22	
model_1   -C  -E  -n4   -o2   -S0   		Command exited with non-zero status 124 58.93	
model_1   -C  -E  -n4   -o2   -S1   		Command exited with non-zero status 124 59.53	
model_1   -C  -E  -n4   -o2   -S2   		14.77	
model_1   -C  -E  -n4   -o3   -S0   		0.91	
model_1   -C  -E  -n4   -o3   -S1   		0.03	
model_1   -C  -E  -n4   -o3   -S2   		0.06	
model_1   -C  -E  -n4   -o4   -S0   		Command exited with non-zero status 124 59.16	
model_1   -C  -E  -n4   -o4   -S1   		Command exited with non-zero status 124 58.71	
model_1   -C  -E  -n4   -o4   -S2   		Command exited with non-zero status 124 59.19	


model_2      -E  -n0   -o2   -S0   		Command exited with non-zero status 124 59.53	
model_2      -E  -n0   -o2   -S1   		Command exited with non-zero status 124 59.41	
model_2      -E  -n0   -o2   -S2   		Command exited with non-zero status 124 59.34	
model_2      -E  -n0   -o3   -S0   		Command exited with non-zero status 124 59.59	
model_2      -E  -n0   -o3   -S1   		Command exited with non-zero status 124 59.39	
model_2      -E  -n0   -o3   -S2   		Command exited with non-zero status 124 58.86	
model_2      -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.73	
model_2      -E  -n0   -o4   -S1   		Command exited with non-zero status 124 59.36	
model_2      -E  -n0   -o4   -S2   		Command exited with non-zero status 124 59.46	
model_2      -E  -n1   -o2   -S0   		Command exited with non-zero status 124 59.47	
model_2      -E  -n1   -o2   -S1   		Command exited with non-zero status 124 59.43	
model_2      -E  -n1   -o2   -S2   		Command exited with non-zero status 124 59.11	
model_2      -E  -n1   -o3   -S0   		Command exited with non-zero status 124 58.92	
model_2      -E  -n1   -o3   -S1   		Command exited with non-zero status 124 59.23	
model_2      -E  -n1   -o3   -S2   		Command exited with non-zero status 124 59.47	
model_2      -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.33	
model_2      -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.62	
model_2      -E  -n1   -o4   -S2   		Command exited with non-zero status 124 59.58	
model_2      -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.41	
model_2      -E  -n2   -o2   -S1   		Command exited with non-zero status 124 59.08	
model_2      -E  -n2   -o2   -S2   		Command exited with non-zero status 124 59.40	
model_2      -E  -n2   -o3   -S0   		Command exited with non-zero status 124 59.25	
model_2      -E  -n2   -o3   -S1   		Command exited with non-zero status 124 58.98	
model_2      -E  -n2   -o3   -S2   		Command exited with non-zero status 124 59.80	
model_2      -E  -n2   -o4   -S0   		Command exited with non-zero status 124 59.14	
model_2      -E  -n2   -o4   -S1   		Command exited with non-zero status 124 58.90	
model_2      -E  -n2   -o4   -S2   		Command exited with non-zero status 124 59.06	
model_2      -E  -n3   -o2   -S0   		Command exited with non-zero status 124 59.58	
model_2      -E  -n3   -o2   -S1   		Command exited with non-zero status 124 59.39	
model_2      -E  -n3   -o2   -S2   		Command exited with non-zero status 124 59.81	
model_2      -E  -n3   -o3   -S0   		Command exited with non-zero status 124 59.48	
model_2      -E  -n3   -o3   -S1   		Command exited with non-zero status 124 59.38	
model_2      -E  -n3   -o3   -S2   		Command exited with non-zero status 124 59.31	
model_2      -E  -n3   -o4   -S0   		Command exited with non-zero status 124 59.23	
model_2      -E  -n3   -o4   -S1   		Command exited with non-zero status 124 59.59	
model_2      -E  -n3   -o4   -S2   		Command exited with non-zero status 124 59.73	
model_2      -E  -n4   -o2   -S0   		Command exited with non-zero status 124 59.80	
model_2      -E  -n4   -o2   -S1   		Command exited with non-zero status 124 59.61	
model_2      -E  -n4   -o2   -S2   		Command exited with non-zero status 124 59.76	
model_2      -E  -n4   -o3   -S0   		Command exited with non-zero status 124 59.61	
model_2      -E  -n4   -o3   -S1   		Command exited with non-zero status 124 59.38	
model_2      -E  -n4   -o3   -S2   		Command exited with non-zero status 124 59.56	
model_2      -E  -n4   -o4   -S0   		Command exited with non-zero status 124 59.42	
model_2      -E  -n4   -o4   -S1   		Command exited with non-zero status 124 59.38	
model_2      -E  -n4   -o4   -S2   		Command exited with non-zero status 124 59.55	
model_2   -C  -E  -n0   -o2   -S0   		Command exited with non-zero status 124 59.04	
model_2   -C  -E  -n0   -o2   -S1   		Command exited with non-zero status 124 59.02	
model_2   -C  -E  -n0   -o2   -S2   		Command exited with non-zero status 124 59.46	
model_2   -C  -E  -n0   -o3   -S0   		57.04	
model_2   -C  -E  -n0   -o3   -S1   		43.40	
model_2   -C  -E  -n0   -o3   -S2   		56.16	
model_2   -C  -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.44	
model_2   -C  -E  -n0   -o4   -S1   		Command exited with non-zero status 124 59.40	
model_2   -C  -E  -n0   -o4   -S2   		Command exited with non-zero status 124 59.33	
model_2   -C  -E  -n1   -o2   -S0   		Command exited with non-zero status 124 59.08	
model_2   -C  -E  -n1   -o2   -S1   		Command exited with non-zero status 124 59.41	
model_2   -C  -E  -n1   -o2   -S2   		Command exited with non-zero status 124 58.95	
model_2   -C  -E  -n1   -o3   -S0   		55.61	
model_2   -C  -E  -n1   -o3   -S1   		49.48	
model_2   -C  -E  -n1   -o3   -S2   		55.86	
model_2   -C  -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.33	
model_2   -C  -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.23	
model_2   -C  -E  -n1   -o4   -S2   		Command exited with non-zero status 124 59.64	
model_2   -C  -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.41	
model_2   -C  -E  -n2   -o2   -S1   		Command exited with non-zero status 124 58.81	
model_2   -C  -E  -n2   -o2   -S2   		Command exited with non-zero status 124 59.30	
model_2   -C  -E  -n2   -o3   -S0   		Command exited with non-zero status 124 58.59	
model_2   -C  -E  -n2   -o3   -S1   		48.44	
model_2   -C  -E  -n2   -o3   -S2   		51.69	
model_2   -C  -E  -n2   -o4   -S0   		Command exited with non-zero status 124 59.62	
model_2   -C  -E  -n2   -o4   -S1   		Command exited with non-zero status 124 59.42	
model_2   -C  -E  -n2   -o4   -S2   		Command exited with non-zero status 124 59.42	
model_2   -C  -E  -n3   -o2   -S0   		Command exited with non-zero status 124 58.32	
model_2   -C  -E  -n3   -o2   -S1   		Command exited with non-zero status 124 58.95	
model_2   -C  -E  -n3   -o2   -S2   		Command exited with non-zero status 124 59.23	
model_2   -C  -E  -n3   -o3   -S0   		43.24	
model_2   -C  -E  -n3   -o3   -S1   		46.08	
model_2   -C  -E  -n3   -o3   -S2   		Command exited with non-zero status 124 57.14	
model_2   -C  -E  -n3   -o4   -S0   		Command exited with non-zero status 124 57.34	
model_2   -C  -E  -n3   -o4   -S1   		Command exited with non-zero status 124 59.32	
model_2   -C  -E  -n3   -o4   -S2   		Command exited with non-zero status 124 59.16	
model_2   -C  -E  -n4   -o2   -S0   		Command exited with non-zero status 124 57.59	
model_2   -C  -E  -n4   -o2   -S1   		Command exited with non-zero status 124 59.17	
model_2   -C  -E  -n4   -o2   -S2   		Command exited with non-zero status 124 59.52	
model_2   -C  -E  -n4   -o3   -S0   		46.83	
model_2   -C  -E  -n4   -o3   -S1   		47.38	
model_2   -C  -E  -n4   -o3   -S2   		52.48	
